Experiment,Tray,F0 food,F1 food,Rep,Clone,E,I?,I.D.,#clutches (up to d37),DOB,DOD,days.alive,Notes,Lifetime # clutches,C1 Date,C1 Full Date,C1 Formatted Date,C1 Days,C1 #,C2,C2 Full Date,C2 day,C2 #,C2 cumulative #,C3,C3 full date,C3 day,C3#,C3 cumulative #,C4,C4 Full Date,C4 day,C4#,C4 cumulative #,C5,C5 day,C5#,C5 cumulative #,C6,C6 day,C6#,C6 cumulative #,C7,C7 day,C7#,C7 cumulative #,C8,C8 day,C8#,C8 cumulative #,C9,C9 day,C9#,C9 cumulative #,C10,C10 day,C10#,C10 cumulative #,C11,C11 day,C11#,C11 cumulative #,C12,C12 day,C12#,C12 cumulative #,C13,C13 day,C13#,C13 cumulative #,C14,C14 day,C14#,C14 cumulative #,C15,C15 day,C15#,C15 cumulative #,C16,C16 day,C16#,C16 cumulative #,C17,C17 day,C17#,C17 cumulative #,C18,C18 day,C18#,C18 cumulative #,C19,C19 day,C19#,C19 cumulative #,C20,C20 day,C20#,C20 cumulative #,C21,C21 day,C21#,C21 cumulative #,C22,C22 day,C22#,C22 cumulative #,C23,C23 day,C23#,C23 cumulative #,C24,C24 day,C24#,C24 cumulative #,C25,C25 day,C25#,C25 cumulative #,Lifetime offpsring #
Fiona,20,L,H,37,32,E,1,305,1,02/23/2014 00:00,03/07/14 00:00,14,,1,03/03/14,,03/03/14,10,15,,/2014,,,15,,/2014,,,15,,/2014,,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,,-41093,,15,15
Fiona,1,H,H,1,32,E,1,2,2,02/16/2014 00:00,03/11/14 00:00,25,,2,25-Feb,25/02/14,25/02/14,9,13,28-Feb,28/02/14,12,11,24,,,-41086,,24,,/2014,,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,,-41086,,24,24
Fiona,14,H,L,30,32,E,1,231,1,02/20/2014 00:00,03/15/2014 00:00,25,,1,03-Mar,03/03/14,03/03/14,13,2,,/2014,,,2,,/2014,,,2,,/2014,,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,,-41090,,2,2
Fiona,6,L,L,12,32,E,1,87,1,02/18/2014 00:00,03/16/2014 00:00,28,,1,27-Feb,27/02/14,27/02/14,9,7,,/2014,,,7,,/2014,,,7,,/2014,,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,,-41088,,7,7
Fiona,17,L,L,33,32,E,1,273,2,02/21/2014 00:00,03/19/2014 00:00,28,,2,03/03/14,,03/03/14,12,9,03/06/14,03/06/14,15,2,11,,/2014,,,11,,/2014,,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,,-41091,,11,11
Fiona,17,L,L,35,32,E,1,283,2,02/21/2014 00:00,03/22/2014 00:00,31,,2,03/02/14,,03/02/14,11,8,03/08/14,03/08/14,17,2,10,,/2014,,,10,,/2014,,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,,-41091,,10,10
Fiona,4,H,H,4,32,E,1,54,3,02/17/2014 00:00,03/25/2014 00:00,38,,3,26-Feb,26/02/14,26/02/14,9,20,02-Mar,02/03/14,15,17,37,05-Mar,05/03/14,18,12,49,,/2014,,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,,-41087,,49,49
Fiona,14,H,L,32,32,E,1,239,2,02/20/2014 00:00,03/29/2014 00:00,39,,2,03-Mar,03/03/14,03/03/14,13,3,07-Mar,07/03/14,17,1,4,,/2014,,,4,,/2014,,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,,-41090,,4,4
Fiona,10,L,H,21,32,E,1,154,1,02/19/2014 00:00,04/02/14 00:00,43,,1,01-Mar,01/03/14,01/03/14,12,17,,/2014,,,17,,/2014,,,17,,/2014,,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,,-41089,,17,17
Fiona,7,H,H,19,32,E,1,119,2,02/18/2014 00:00,04/03/14 00:00,45,,2,27-Feb,27/02/14,27/02/14,9,18,03-Mar,03/03/14,15,9,27,,/2014,,,27,,/2014,,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,,-41088,,27,27
