uniqueID,replicate,Maternal.Food,clutch,exposed,infected,dob,day30reproduction,early.repro.total,early.repro.rate,late.repro.date,total.babies.late,late.rate,census,dod,days.alive,photo no. ,body.size,1,2,3,4,5,6,7,8,9,10,11,12,c1,c1age,c1n,c2,ici1,c2age,c2n,c3,ici2,c3age,c3n,c4,ici3,c4age,c4n,c5,ici4,c5age,c5n,c6,ici5,c6age,c6n,c7,ici6,c7age,c7n,c8,ici7,c8age,c8n,c9,ici8,c9age,c9n,c10,ici9,c10age,c10n,c11,ici10,c11age,c11n,c12,ici11,c12age,c12n,c13,ici12,c13age,c13n,c14,ici13,c14age,c14n,c15,ici14,c15age,c15n,c16,ici15,c16age,c16n,c17,ici16,c17age,c17n,c18,ici17,c18age,c18n,c19,ici18,c19age,c19n,c20,ici19,c20age,c20n,c21,ici20,c21age,c21n,c22,ici21,c22age,c22n,c23,c23n,ici22,c23age,total.repro
1,1,NF,A,E,I,05-Jul,14-Aug,19,0.633333333,13-Sep,0,NA,0,09-Aug,34,P7053264,0.758648663,,,,,,,,,,,,,15-Jul,10,9,20-Jul,5,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
2,1,NF,A,U,NE,05-Jul,14-Aug,74,2.466666667,13-Sep,18,0.6,0,23-Aug,48,P7053265,0.782791995,34,16,7,26,9,,,,,,,,15-Jul,10,11,20-Jul,5,15,14,22-Jul,2,17,9,26-Jul,4,21,6,30-Jul,4,25,10,03-Aug,3,28,7,08-Aug,5,33,7,11-Aug,3,36,10,15-Aug,4,40,9,20-Aug,5,45,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
3,1,NF,B,E,I,11-Jul,22-Aug,30,1,21-Sep,0,NA,0,15-Aug,34,P7113531,0.696770066,,,,,,,,,,,,,23-Jul,12,8,26-Jul,3,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
4,1,NF,B,U,NE,11-Jul,,,NA,,,,0,14-Jul,3,P7113532,0.723891124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,1,NF,C,E,I,27-Jun,05-Aug,12,0.4,04-Sep,0,NA,0,02-Aug,35,,,,,,,,,,,,,,,06-Jul,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
6,1,NF,C,U,NE,27-Jun,05-Aug,94,3.133333333,04-Sep,65,2.166666667,0,15-Oct,108,,,30,23,21,20,20,24,12,14,8,12,6,12,06-Jul,9,16,10-Jul,4,13,14,14-Jul,4,17,13,18-Jul,4,21,10,22-Jul,4,25,9,26-Jul,4,29,12,30-Jul,4,33,10,03-Aug,3,36,10,08-Aug,5,41,9,11-Aug,3,44,11,16-Aug,5,49,8,20-Aug,4,53,16,24-Aug,4,57,9,29-Aug,5,62,3,02-Sep,3,65,9,06-Sep,4,69,5,11-Sep,5,74,8,16-Sep,5,79,6,22-Sep,6,85,6,26-Sep,4,89,6,01-Oct,5,94,5,06-Oct,5,99,7,,,,,202
7,1,LF,A,E,I,06-Jul,16-Aug,18,0.6,15-Sep,0,NA,0,10-Aug,34,P7063287,0.664664481,,,,,,,,,,,,,17-Jul,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
8,1,LF,A,U,NE,06-Jul,16-Aug,92,3.066666667,15-Sep,32,1.066666667,0,26-Aug,50,P7063288,0.637726537,28,31,25,8,19,13,,,,,,,17-Jul,11,15,21-Jul,4,15,13,25-Jul,4,19,13,28-Jul,3,22,10,01-Aug,3,25,8,05-Aug,4,29,13,09-Aug,4,33,12,13-Aug,4,37,8,18-Aug,5,42,12,22-Aug,4,46,7,26-Aug,4,50,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
9,1,LF,B,E,N,12-Jul,22-Aug,89,2.966666667,21-Sep,33,1.1,0,14-Sep,62,P7123599,0.68520835,,,,,,,,,,,,,23-Jul,11,19,27-Jul,4,15,10,30-Jul,3,18,5,03-Aug,3,21,12,08-Aug,5,26,11,11-Aug,3,29,13,15-Aug,4,33,8,19-Aug,4,37,11,27-Aug,8,45,8,01-Sep,4,49,7,05-Sep,4,53,9,09-Sep,4,57,4,14-Sep,5,62,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
10,1,LF,B,U,NE,12-Jul,21-Aug,45,1.5,20-Sep,0,NA,0,12-Aug,30,P7123600,0.718658543,28,15,2,,,,,,,,,,22-Jul,10,11,25-Jul,3,13,11,29-Jul,4,17,6,01-Aug,2,19,8,05-Aug,4,23,7,09-Aug,4,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
