uniqueID,rep,Food,treatment,DOB,DOD,dead.alive,days.alive,d60,c1,c1age,c1n,c2,c2age,c2n,c3,c3age,c3n,c4,c4age,c4n,c5,c5age,c5n,c6,c6age,c6n,c7,c7age,c7n,c8,c8age,c8n,c9,c9age,c9n,c10,c10age,c10n,c11,c11age,c11n,c12,c12age,c12n,c13,c13age,c13n,c14,c14age,c14n,,
1,1,NF,C,26-Apr,,0,-41876,25-Jun,06-May,10,16,10-May,14,15,14-May,18,10,18-May,22,11,22-May,26,10,26-May,30,13,30-May,34,14,03-Jun,37,9,07-Jun,41,10,13-Jun,47,8,16-Jun,50,11,20-Jun,54,6,24-Jun,58,12,29/06/16,63,12,,
2,1,LF,C,26-Apr,23-Jun,0,57,25-Jun,07-May,11,4,11-May,15,3,16-May,20,2,20-May,24,3,23-May,27,5,29-May,33,2,13-Jun,47,1,18-Jun,52,3,23-Jun,57,1,,,,,-41876,,,,,,,,,-41876,,,
3,2,NF,C,26-Apr,,0,-41876,25-Jun,06-May,10,19,10-May,14,17,14-May,18,10,18-May,22,11,22-May,26,8,26-May,30,13,30-May,34,8,03-Jun,37,8,07-Jun,41,8,13-Jun,47,9,16-Jun,50,9,21-Jun,55,3,25-Jun,59,10,30-Jun,64,6,,
4,2,LF,C,26-Apr,25-Jun,0,59,25-Jun,09-May,13,7,14-May,18,2,18-May,22,3,26-May,30,5,06-Jun,40,2,09-Jun,43,3,14-Jun,48,1,,-41876,,,-41876,,,-41876,,,-41876,,,,,,,,,-41876,,,
5,3,NF,C,26-Apr,,0,-41876,25-Jun,07-May,11,10,11-May,15,6,15-May,19,6,23-May,27,14,29-May,33,14,01-Jun,35,8,09-Jun,43,11,14-Jun,48,6,19-Jun,53,6,23-Jun,57,7,28-Jun,62,7,,,,,,,,-41876,,,
6,3,LF,C,26-Apr,,0,-41876,25-Jun,12-May,16,4,16-May,20,2,21-May,25,1,25-May,29,7,30-May,34,2,02-Jun,36,2,04-Jun,38,2,09-Jun,43,2,15-Jun,49,2,23-Jun,57,3,29-Jun,63,4,,,,,,,,-41876,,,
7,4,NF,C,26-Apr,21-May,0,25,25-Jun,06-May,10,1,09-May,13,21,13-May,17,18,16-May,20,10,20-May,24,15,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,,,,,,,-41876,,,
8,4,LF,C,26-Apr,12-May,1,16,25-Jun,,,,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,-41876,,,,,,,,,-41876,,,
9,5,NF,C,27-Apr,,0,-41877,26-Jun,07-May,10,14,10-May,13,26,14-May,17,19,18-May,21,16,22-May,25,13,26-May,29,12,30-May,33,9,03-Jun,36,11,07-Jun,40,7,13-Jun,46,12,16-Jun,49,12,21-Jun,54,4,25-Jun,58,9,29-Jun,62,9,,
10,5,LF,C,27-Apr,,0,-41877,26-Jun,08-May,11,5,16-May,19,3,20-May,23,16,25-May,28,3,30-May,33,2,03-Jun,36,1,08-Jun,41,2,13-Jun,46,2,18-Jun,51,2,24-Jun,57,3,28-Jun,61,4,,-41877,,,-41877,,,-41877,,,
